nom,canonical_key,type,category,voie,severity,action
abémaciclib,abemaciclib,molecule_absente_hug,,,medium,conserver_CBIP_flag_source_unique
abémaciclib,abemaciclib,voie_cbip_seule,substrat,CYP3A4/5,medium,conserver_CBIP_confidence_medium
abiratérone,abiraterone,molecule_absente_hug,,,medium,conserver_CBIP_flag_source_unique
abiratérone,abiraterone,voie_cbip_seule,substrat,CYP3A4/5,medium,conserver_CBIP_confidence_medium
abiratérone,abiraterone,voie_cbip_seule,inhibiteur,CYP2C8,medium,conserver_CBIP_confidence_medium
abiratérone,abiraterone,voie_cbip_seule,inhibiteur,CYP2D6,medium,conserver_CBIP_confidence_medium
abrocitinib,abrocitinib,molecule_absente_hug,,,medium,conserver_CBIP_flag_source_unique
abrocitinib,abrocitinib,voie_cbip_seule,substrat,CYP2C19,medium,conserver_CBIP_confidence_medium
abrocitinib,abrocitinib,voie_cbip_seule,substrat,CYP2C9,medium,conserver_CBIP_confidence_medium
acalabrutinib,acalabrutinib,molecule_absente_hug,,,medium,conserver_CBIP_flag_source_unique
acalabrutinib,acalabrutinib,voie_cbip_seule,substrat,CYP3A4/5,medium,conserver_CBIP_confidence_medium
acalabrutinib,acalabrutinib,voie_cbip_seule,substrat,Pgp,medium,conserver_CBIP_confidence_medium
acalabrutinib,acalabrutinib,voie_cbip_seule,inhibiteur,CYP3A4/5,medium,conserver_CBIP_confidence_medium
acalabrutinib,acalabrutinib,voie_cbip_seule,inducteur,CYP1A2,medium,conserver_CBIP_confidence_medium
acénocoumarol,acenocoumarol,voie_hug_seule,substrat,CYP1A2,medium,flag_review_HUG_pdf
acénocoumarol,acenocoumarol,voie_hug_seule,substrat,CYP2C19,medium,flag_review_HUG_pdf
aciclovir,aciclovir,molecule_absente_hug,,,medium,conserver_CBIP_flag_source_unique
aciclovir,aciclovir,voie_cbip_seule,inhibiteur,CYP1A2,medium,conserver_CBIP_confidence_medium
acide fusidique,acide fusidique,molecule_absente_cbip,,,medium,conserver_HUG_flag_review
acide fusidique,acide fusidique,voie_hug_seule,inhibiteur,CYP2D6,medium,flag_review_HUG_pdf
acide fusidique,acide fusidique,voie_hug_seule,inhibiteur,CYP3A4/5,medium,flag_review_HUG_pdf
acide fusidique,acide fusidique,voie_hug_seule,inhibiteur,Pgp,medium,flag_review_HUG_pdf
acide méfénamique,acide mefenamique,molecule_absente_cbip,,,medium,conserver_HUG_flag_review
acide méfénamique,acide mefenamique,voie_hug_seule,substrat,CYP2C9,medium,flag_review_HUG_pdf
acide valproïque,acide valproique,voie_cbip_seule,substrat,CYP2C19,low,conserver_CBIP_confidence_medium
acide valproïque,acide valproique,voie_hug_seule,inhibiteur,CYP2C9,medium,flag_review_HUG_pdf
afatinib,afatinib,molecule_absente_hug,,,medium,conserver_CBIP_flag_source_unique
afatinib,afatinib,voie_cbip_seule,substrat,Pgp,medium,conserver_CBIP_confidence_medium
agomélatine,agomelatine,voie_hug_seule,substrat,CYP2C19,medium,flag_review_HUG_pdf
agomélatine,agomelatine,voie_hug_seule,substrat,CYP2C9,medium,flag_review_HUG_pdf
alectinib,alectinib,molecule_absente_hug,,,medium,conserver_CBIP_flag_source_unique
alectinib,alectinib,voie_cbip_seule,substrat,CYP3A4/5,medium,conserver_CBIP_confidence_medium
alfuzosine,alfuzosine,molecule_absente_hug,,,medium,conserver_CBIP_flag_source_unique
alfuzosine,alfuzosine,voie_cbip_seule,substrat,CYP3A4/5,medium,conserver_CBIP_confidence_medium
almotriptan,almotriptan,molecule_absente_hug,,,medium,conserver_CBIP_flag_source_unique
almotriptan,almotriptan,voie_cbip_seule,substrat,CYP2D6,medium,conserver_CBIP_confidence_medium
almotriptan,almotriptan,voie_cbip_seule,substrat,CYP3A4/5,medium,conserver_CBIP_confidence_medium
alpelisib,alpelisib,molecule_absente_hug,,,medium,conserver_CBIP_flag_source_unique
alpelisib,alpelisib,voie_cbip_seule,substrat,CYP3A4/5,medium,conserver_CBIP_confidence_medium
ambrisentan,ambrisentan,molecule_absente_hug,,,medium,conserver_CBIP_flag_source_unique
ambrisentan,ambrisentan,voie_cbip_seule,substrat,CYP2C19,medium,conserver_CBIP_confidence_medium
ambrisentan,ambrisentan,voie_cbip_seule,substrat,CYP3A4/5,medium,conserver_CBIP_confidence_medium
ambrisentan,ambrisentan,voie_cbip_seule,substrat,Pgp,medium,conserver_CBIP_confidence_medium
amiodarone,amiodarone,voie_cbip_seule,substrat,CYP2C8,low,conserver_CBIP_confidence_medium
amiodarone,amiodarone,puissance_discordante,inhibiteur,CYP2C9,high,review_manuel_prioritaire
amiodarone,amiodarone,puissance_discordante,inhibiteur,CYP2D6,high,review_manuel_prioritaire
amiodarone,amiodarone,voie_hug_seule,inhibiteur,CYP1A2,medium,flag_review_HUG_pdf
amisulpride,amisulpride,molecule_absente_hug,,,medium,conserver_CBIP_flag_source_unique
amisulpride,amisulpride,voie_cbip_seule,substrat,Pgp,medium,conserver_CBIP_confidence_medium
amitriptyline,amitriptyline,voie_hug_seule,substrat,CYP2C19,medium,flag_review_HUG_pdf
amitriptyline,amitriptyline,voie_hug_seule,substrat,CYP2C9,medium,flag_review_HUG_pdf
amitriptyline,amitriptyline,voie_hug_seule,substrat,CYP3A4/5,medium,flag_review_HUG_pdf
amlodipine,amlodipine,voie_hug_seule,substrat,Pgp,medium,flag_review_HUG_pdf
anagrélide,anagrelide,molecule_absente_hug,,,medium,conserver_CBIP_flag_source_unique
anagrélide,anagrelide,voie_cbip_seule,substrat,CYP1A2,medium,conserver_CBIP_confidence_medium
anastrozole,anastrozole,molecule_absente_hug,,,medium,conserver_CBIP_flag_source_unique
anastrozole,anastrozole,voie_cbip_seule,substrat,CYP3A4/5,medium,conserver_CBIP_confidence_medium
apalutamide,apalutamide,molecule_absente_hug,,,medium,conserver_CBIP_flag_source_unique
apalutamide,apalutamide,voie_cbip_seule,inducteur,CYP2C19,medium,conserver_CBIP_confidence_medium
apalutamide,apalutamide,voie_cbip_seule,inducteur,CYP2C9,medium,conserver_CBIP_confidence_medium
apalutamide,apalutamide,voie_cbip_seule,inducteur,CYP3A4/5,medium,conserver_CBIP_confidence_medium
aprémilast,apremilast,molecule_absente_hug,,,medium,conserver_CBIP_flag_source_unique
aprémilast,apremilast,voie_cbip_seule,substrat,CYP3A4/5,medium,conserver_CBIP_confidence_medium
aprépitant,aprepitant,molecule_absente_hug,,,medium,conserver_CBIP_flag_source_unique
